shop
ID;Name;Brand;Amenity;Longitude;Latitude
234045057;;;supermarket;5.7261734;50.8273797
234045059;ALDI;ALDI;supermarket;5.6766818;50.8485485
234045522;Albert Heijn XL;Albert Heijn XL;supermarket;5.6650032;50.8504616
234045525;Albert Heijn;Albert Heijn;supermarket;5.7280777;50.8442183
234045975;PLUS;PLUS;supermarket;5.7291484;50.8430143
234046157;Jumbo Maastricht;Jumbo;supermarket;5.6551054;50.8634511
2429798205;Albert Heijn;Albert Heijn;supermarket;5.7002739;50.8465541
2429798206;Albert Heijn to go;Albert Heijn to go;convenience;5.7055654;50.8498533
2440909944;Jumbo;Jumbo;supermarket;5.7004103;50.8571084
2467095763;Etos;Etos;chemist;5.7277837;50.8429244
2467095857;Etos;Etos;chemist;5.6661764;50.8505016
2467096058;Etos;Etos;chemist;5.7323951;50.8642123
2483553961;Gall & Gall;Gall & Gall;alcohol;5.6657617;50.8506063
2564104740;De Lekkerbek;;bakery;5.7310857;50.8406752
2564104742;;;butcher;5.7305364;50.8406698
2567904016;WW Maastricht;;gift;5.6854226;50.8495885
2702753513;Jumbo;Jumbo;supermarket;5.7258166;50.8271469
2714040184;;;florist;5.7010972;50.8495526
2715186099;ANWB winkel;ANWB;outdoor;5.6995348;50.8495704
2877254070;Jumbo;Jumbo;supermarket;5.6665994;50.8502347
2945421080;Sirius;;soft_drugs;5.6857123;50.8495784
2945421091;Courtens;;bicycle;5.6824474;50.8479172
2945421107;Cool Running;;soft_drugs;5.6842647;50.8495537
2945421108;Club69;;soft_drugs;5.6858942;50.8499049
2945421121;Organic Earth;;soft_drugs;5.6820258;50.8495789
2945421136;Headshop Vision;;soft_drugs;5.6850931;50.8497198
2945428523;Missouri;;soft_drugs;5.7004521;50.8472261
2945428526;Maxcy's Coffeeshop;;soft_drugs;5.6980686;50.8486285
2951740677;ElektroWorld Weerts;;electronics;5.7278022;50.8432022
2951740700;Relax;;sports;5.7274874;50.8430673
2951740702;Terre des hommes;;charity;5.7274177;50.8429424
2951740703;Hans Anders;Hans Anders;optician;5.7283195;50.8431505
2951740715;villa vivante;;florist;5.7287204;50.8432044
2951740718;Kruidvat;Kruidvat;chemist;5.7277439;50.8428179
2951740724;Beter horen;;hearing_aids;5.7286821;50.8430701
2951740728;shoebidoe;;shoes;5.7277487;50.8430784
2951740738;Paulissen;;bakery;5.7285527;50.8431179
2951757118;;;shoes;5.7277625;50.8438669
2951757152;Cycling Evers;;bicycle;5.7274035;50.8444689
2951757159;;;clothes;5.7277588;50.843804
2951757163;;;gift;5.7274389;50.8441031
2951757168;;;optician;5.7277186;50.8436115
2951773356;VidaMama;;clothes;5.7278428;50.8445312
2951802455;Van de Weert;;bakery;5.7243471;50.8436373
2951802464;De Wilg;;ice;5.7239637;50.8436947
2951802504;Geurten;;stationery;5.7255769;50.8435234
2951802510;Toko Bandung;;convenience;5.7249616;50.8435848
2951802511;Essers;;furniture;5.7236522;50.843702
2951816499;Schoonenberg;Schoonenberg;hearing_aids;5.7262739;50.8434609
2951820054;Frans Beks & Zonen;;curtain;5.7280853;50.8436178
21117935124;Kookhuis an de Maes;;kitchen;5.6899516;50.8515289
21117935136;Kapsalon Mandy;;hairdresser;5.6896728;50.8511474
21118009142;SoDelicious;;bakery;5.7029942;50.8494448
21118704216;;;vacant;5.7018249;50.8451162
21216512406;Bàm Bàm kinderkleding;;clothes;5.7279046;50.8428744
21699403449;Mathieu Hermans;;bakery;5.6796548;50.850078
21741135398;Kessels BMW;;car_repair;5.7081181;50.8451752
21741135399;Kessels Automobielen;;car;5.707571;50.8454157
21868673570;Paulissen;;bakery;5.6501106;50.8395434
21868673579;Lidl;Lidl;supermarket;5.6519989;50.8388489
21879786975;Jorissen Auto's;;car_repair;5.7216334;50.842248
22092838830;Aveve;Aveve;garden_centre;5.7155045;50.8251711
22092869245;;;hairdresser;5.7042609;50.8315291
22098808604;Garage van den Boorn;;car;5.7140408;50.8260822
22153614844;;;hairdresser;5.705509;50.8302165
22293901555;Quaaden;;bicycle;5.7212071;50.8439369
22384505517;Aktiesport;Aktiesport;sports;5.6667677;50.8506508
22384505522;C&A;C&A;clothes;5.6656643;50.8510476
22384505525;Hendriks;;florist;5.6668881;50.8505501
22384505527;Jay Dee;;hairdresser;5.6671267;50.8503826
22384505531;Kapper Kreatos;;chemist;5.6679049;50.8507912
22384505534;Mon-Ami;;laundry;5.6758602;50.846497
22384505540;Paulissen Bakkerijen;;bakery;5.6678;50.8508698
22384505549;;;bicycle;5.6738345;50.8465075
22384505552;;;computer;5.6732405;50.846929
22482147833;HEMA;HEMA;department_store;5.7055184;50.8500193
22652183057;Kaldi Maastricht;;coffee;5.6987446;50.8495785
22673023926;Het Demertje;;butcher;5.7225474;50.8420027
22673023927;sound academy;;music;5.7221815;50.8406335
22673056815;Top1Toys;;toys;5.7263802;50.8434506
22796018032;Primera;Primera;newsagent;5.7038262;50.8319052
22796018717;Kruidvat;Kruidvat;chemist;5.7039636;50.8316914
22796020407;Lelieveld;;florist;5.7289858;50.8279399
22796029239;;;car;5.7126857;50.8218501
22796561402;Remmers Occasions;;car;5.7288923;50.831073
22796970326;Praxis;;doityourself;5.7211154;50.8430018
22796974983;Zeeman;Zeeman;clothes;5.7281414;50.8428074
22796975412;Oogwereld Ritchi;Oogwereld;optician;5.7260846;50.8435071
22796992184;Maison Culinair;;convenience;5.7277197;50.8416464
22796995606;Joli Fashion;;clothes;5.7284216;50.8431353
22796997158;'t Rommedoeke;;convenience;5.7285552;50.8429024
22799864045;Cobben;;supermarket;5.6919729;50.8398738
22799865842;Vroegop;;greengrocer;5.6905539;50.8399634
