tourism
ID;Name;Type;Longitude;Latitude
134050681;Museum de Historische Drukkerij;museum;5.6932054;50.8500353
1260985537;;viewpoint;5.6925409;50.8227839
1293248973;;information;5.6795449;50.8440609
1391453461;Limburgs Bevrijdingsmonument;artwork;5.7103517;50.849265
1392677946;;information;5.730517;50.8247234
1430472959;;information;5.6958909;50.8465163
1476646999;Bastion Hotel;hotel;5.6903637;50.8551734
1520644278;;information;5.682104;50.8549045
1605237779;Au Lion d'Or;hotel;5.701518;50.847366
1714007993;L'Empereur;hotel;5.7044971;50.8498702
1714012491;;information;5.7033342;50.8496381
1715176759;De Poshoorn;hotel;5.7012271;50.8493871
1715186107;;information;5.6995709;50.8495747
1715566830;;information;5.6952331;50.8437152
1715566838;;information;5.6953066;50.8428478
1715573134;;information;5.6891517;50.8487217
1715588699;Botticelli;hotel;5.6883648;50.8477802
1715743860;;artwork;5.6903875;50.8526465
1715743865;;information;5.6899691;50.8536286
1715750342;;information;5.6898119;50.8543232
1724554693;;information;5.7029838;50.8388416
1791011607;;information;5.6660744;50.8198911
1833469594;hip Hotel;hotel;5.7036731;50.8516454
1833469599;Townhouse Hotel;hotel;5.7037214;50.8513896
1840593364;Berenkuil;attraction;5.6843646;50.8436123
1840600344;D'Artagnan;artwork;5.6837213;50.844399
1840621532;De Mens in het Heelal;artwork;5.6814064;50.8445946
1914049730;;artwork;5.7271565;50.8336988
1945421077;Derlon;hotel;5.6932084;50.8478604
1945421086;Le Virage;hotel;5.6926383;50.8470381
1945421098;Hotel Les Charme;hotel;5.6888325;50.8467515
1945421123;Hotel Au Quartier;hotel;5.6901772;50.8466178
1945428534;Beaumont;hotel;5.7007602;50.8496507
11117935143;Stichting Dierenpark;zoo;5.6896533;50.8434612
11117935147;;viewpoint;5.6851639;50.8304095
11321704381;;viewpoint;5.6887109;50.8318308
11332211739;Pieterpadmonument;artwork;5.6865154;50.8266512
11419298633;;information;5.7251512;50.8438735
11771581725;;viewpoint;5.6875285;50.8327991
11771581726;Slavante;viewpoint;5.6952656;50.8259048
11771581728;;viewpoint;5.6855178;50.8352842
11771581729;Informatiepunt van Grotten Noord en Fort Sint Pieter;information;5.6854457;50.8351927
11771581734;;viewpoint;5.683929;50.8359804
11771583194;Hotel Pastis;hotel;5.6877687;50.8403081
12650701092;N More;museum;5.6867884;50.8508529
12653532539;Hotel Beez;hotel;5.6899274;50.8524474
12653547992;Hotel d'Orangerie;hotel;5.6934049;50.8529186
12653547993;Hotel Mabi;hotel;5.6920577;50.8526225
12795989481;De Wieringerberg;zoo;5.7245986;50.8185317
12795989483;Hoogenweerth suites;hotel;5.6996655;50.8218188
12796998734;Van der Valk;hotel;5.719692;50.8419246
12799136805;Apart Hotels;hotel;5.7159981;50.8379447
12799137700;NH Maastricht Hotel;hotel;5.714124;50.8376763
12800074048;Wiel Arets Architect B.V.;attraction;5.6734355;50.8410343
12802134197;Slagveld Lanakerveld;information;5.6558984;50.8727349
12804889895;Maastricht Visitor Center;information;5.6925304;50.8498775
12804889984;Stayokay Maastricht;hostel;5.6975105;50.843568
12804890823;easyHotel Maastricht City Centre;hotel;5.6948211;50.8478109
12804891254;Hotel Du Casque;hotel;5.6888593;50.8502696
12804892708;Museum aan het Vrijthof;museum;5.6887551;50.8483543
12804892774;Kruisherenhotel;hotel;5.6838029;50.8487435
12804898387;Saillant Hotel Maastricht;hotel;5.6874669;50.8495545
12804898630;Regionaal Historisch Centrum Limburg;museum;5.6927111;50.8457856
12804898641;Natuurhistorisch Museum Maastricht;museum;5.6878046;50.8450433
12804900231;Zenden Design Hotel;hotel;5.6942178;50.8466971
12804902056;Museumkelder Derlon;museum;5.6931982;50.8477987
12808609717;Museum van illusies;museum;5.6933129;50.8516219
12808615312;Matuchi;hotel;5.6916128;50.8522859
12808615702;de la Bourse;hotel;5.6913824;50.8519127
12808618022;Marres;museum;5.685843;50.8518926
12809147252;Roomescape Maastricht;attraction;5.6825065;50.8563095
12809148350;B&B Villaloca;guest_house;5.6723219;50.8645054
12809835850;Crowne Plaza;hotel;5.6982457;50.8470536
12809843382;The Green Elephant;hostel;5.7032068;50.8513053
12809854059;BABs Burritos;apartment;5.7032548;50.8494676
12810584409;Apple Park;hotel;5.7168165;50.8585372
12811255296;Novotel;hotel;5.7180985;50.8449527
12811766608;Teaching Hotel;hotel;5.7108683;50.8679132
12811786049;Kasteel Vaeshartelt;hotel;5.7258569;50.8795186
12951186874;;artwork;5.7087701;50.8383321
12951186875;;artwork;5.7135605;50.841823
12951186876;;artwork;5.718544;50.8467972
12951186878;;artwork;5.7241901;50.841303
12951192852;;artwork;5.7135752;50.8371769
12951192853;Monument van de dipoolmomenten van Peter Debye;artwork;5.7125104;50.8351883
