zip,lat,lon
6211AL,50.85523285,5.692237193
6211AM,50.85360826,5.69195766
6211AN,50.85361704,5.692008836
6211AP,50.85303707,5.691825329
6211AR,50.85499339,5.692294464
6211AT,50.85458078,5.690198936
6211AV,50.85345296,5.690240345
6211AW,50.85254517,5.690502258
6211AX,50.85397608,5.689770179
6211AZ,50.85266783,5.689878568
6211BA,50.85466667,5.692548967
6211BB,50.85488096,5.690684467
6211BC,50.8548773,5.692565282
6211BD,50.85326773,5.691940322
6211BE,50.85290951,5.6924074
6211BG,50.85420551,5.692657046
6211BH,50.85437562,5.691434278
6211BJ,50.85349948,5.692798435
6211BK,50.85402134,5.691182157
6211BL,50.85355118,5.692932616
6211BN,50.85369017,5.691271941
6211BP,50.85369034,5.69143424
6211BS,50.85322843,5.69060253
6211BT,50.85371301,5.690915155
6211BV,50.85256538,5.691346251
6211BW,50.85342249,5.692419644
6211BX,50.85339258,5.692698332
6211BZ,50.85375725,5.691044811
6211CA,50.85250047,5.692552053
6211CB,50.85266572,5.692532422
6211CC,50.85357053,5.693553688
6211CD,50.85246908,5.6936291
6211CE,50.85226563,5.69253385
6211CH,50.85100201,5.690164215
6211CJ,50.85191721,5.689863467
6211CK,50.85188948,5.691357229
6211CL,50.85086551,5.691454838
6211CM,50.85035915,5.690892299
6211CP,50.85049907,5.690020477
6211CR,50.85035827,5.691448296
6211CS,50.85063819,5.6911167
6211CW,50.84993871,5.691634932
6211DA,50.84849314,5.694656986
6211DE,50.8485624,5.693760782
6211EA,50.84918261,5.689746102
6211EB,50.84927719,5.690353928
6211EC,50.84953162,5.691409597
6211ED,50.84963476,5.692689779
6211EL,50.85109461,5.692884466
6211EM,50.8512891,5.693099898
6211EN,50.85019275,5.693636286
6211EP,50.85049377,5.693056679
6211ER,50.84983114,5.693310191
6211ES,50.84922749,5.693610783
6211ET,50.84940159,5.693610596
6211EV,50.84916951,5.69440339
6211EX,50.84836819,5.694721273
6211EZ,50.84728834,5.694681438
6211GA,50.84795723,5.69366644
6211GB,50.84855423,5.694165281
6211GC,50.84768795,5.6943238
6211GD,50.84842887,5.694017404
6211GJ,50.84839242,5.693293422
6211GK,50.84889869,5.693408238
6211GL,50.84901383,5.693355681
6211GM,50.84848651,5.692665846
6211GN,50.84846881,5.692513429
6211GR,50.84901984,5.691734
6211GS,50.84914722,5.69116678
6211GT,50.84890205,5.690569911
6211GV,50.84878041,5.689883425
6211GW,50.84857968,5.690679818
6211GX,50.84853227,5.691469897
6211GZ,50.84816512,5.691882244
6211HA,50.84784541,5.691039249
6211HB,50.84817776,5.68979569
6211HC,50.8482091,5.690190721
6211HD,50.84771836,5.693151686
6211HE,50.84740293,5.6928437
6211HH,50.84626999,5.694592389
6211HK,50.84620728,5.694337647
6211HL,50.84653552,5.6940302
6211HM,50.84616091,5.693549713
6211HN,50.8463708,5.693185825
6211HP,50.84637838,5.692505535
6211HR,50.84673263,5.692773003
6211HT,50.84689707,5.692262643
6211HV,50.84646808,5.691991752
6211HW,50.84743939,5.691608957
6211HX,50.84740726,5.6913411
6211HZ,50.84621306,5.692765364
6211JA,50.84656724,5.690763605
6211JB,50.84673731,5.690774159
6211JC,50.84622509,5.689977654
6211JD,50.8459247,5.691165358
6211JG,50.84569341,5.691481462
6211JH,50.84498962,5.689639019
6211JJ,50.84536909,5.689723851
6211JK,50.84548972,5.688187155
6211JL,50.84525792,5.691097906
6211JM,50.84498023,5.692057762
6211JN,50.84567938,5.69225135
6211JP,50.84475289,5.691523125
6211JR,50.84496959,5.693169514
